Word	Type	Frequency
the	F	2079
case	C	167
number	C	176
is	F	662
name	C	77
of	F	741
defendant	C	383
william	C	115
lavings	C	113
gender	C	54
male	C	55
date	C	57
birth	C	54
august	C	51
22nd	C	26
mailing	C	52
address	C	74
in	F	298
r	C	13
o	F	17
c	C	14
no	F	105
ln	C	28
tai	C	56
shun	C	55
st	C	30
da	C	60
an	F	158
dist	C	66
taipei	C	222
city	C	158
passport	C	52
b0554122	C	45
above	F	137
mentioned	C	73
served	C	1
for	F	162
a	F	273
theft	C	56
after	F	255
investigatory	C	5
procedure	C	31
concluded	C	44
his	F	235
crime	C	167
deemed	C	29
public	C	98
prosecution	C	55
fact	C	41
evidence	C	42
and	F	408
articles	C	9
are	F	148
listed	C	50
as	F	176
followed	C	11
happened	C	49
family	C	60
mart	C	54
located	C	72
on	F	158
sec	C	39
chang	C	67
e	C	38
rd	C	48
time	C	65
incident	C	75
at	F	213
p	C	47
m	F	85
took	C	54
three	C	134
items	C	181
while	F	7
supervisor	C	90
kan	C	17
hao	C	77
was	F	156
not	F	32
paying	C	53
attention	C	35
attempt	C	20
to	F	296
take	C	23
them	F	86
under	F	28
illegal	C	13
possession	C	41
were	F	14
bottle	C	118
comber	C	2
beer	C	79
equivalent	C	73
nt	C	156
gallo	C	64
red	C	54
wine	C	66
two	C	116
bottles	C	77
bailey	C	50
s	F	120
irish	C	61
cream	C	59
put	C	18
into	F	20
pockets	C	48
jackets	C	12
pants	C	57
concealment	C	9
left	C	48
without	C	73
checkout	C	17
found	C	36
about	F	87
matters	C	1
he	F	231
chased	C	48
blocked	C	19
him	F	60
called	C	48
police	C	136
details	C	72
confirmed	C	24
roc	C	6
issued	C	22
investigation	C	67
facts	C	56
follows	C	41
part	C	17
pm	C	28
january	C	59
14th	C	35
criminal	C	40
site	C	5
zhong	C	64
shan	F	64
when	F	51
some	F	11
sale	C	21
by	F	117
hen	C	5
occupy	C	4
land	C	1
respectively	C	12
these	F	58
item	C	8
stole	C	64
hid	C	35
stolen	C	11
then	F	35
store	C	170
making	C	13
payment	C	15
out	F	80
matter	C	10
try	C	4
stop	C	5
call	C	8
comfort	C	1
nationality	C	1
united	C	1
states	C	1
sued	C	6
larceny	C	2
thing	C	3
article	C	11
list	C	1
follow	C	9
one	C	94
which	F	60
caramba	C	1
kang	C	61
did	F	7
pay	C	25
hide	C	2
jacket	C	44
tried	C	7
occupying	C	6
trying	C	2
taiwan	C	70
accused	C	42
robbery	C	4
investugation	C	1
prosecutor	C	59
laws	C	7
bellow	C	1
location	C	14
convenient	C	5
sell	C	15
that	F	54
shopkeeper	C	4
first	C	15
corombo	C	1
so	F	6
pantsand	C	1
went	C	3
foundit	C	1
also	C	3
fifty	C	18
yeras	C	1
old	C	13
miling	C	1
following	C	15
law	C	5
cit	C	1
had	F	6
intention	C	27
break	C	1
position	C	1
illegally	C	33
columbus	C	1
total	C	11
value	C	8
pant	C	3
money	C	2
discovered	C	7
this	F	39
formed	C	1
man	C	2
os	C	1
possesstion	C	2
caramburg	C	1
gallored	C	1
wone	C	1
got	C	2
colombo	C	2
taking	C	6
matte	C	1
years	C	33
be	F	11
behavior	C	6
hand	C	43
colomburg	C	2
those	F	11
itms	C	1
reported	C	23
didn	F	8
t	F	19
product	C	2
suoervisor	C	1
accuser	C	3
therefore	C	3
articlea	C	1
