Word	Frequency
是	2381
我	9849
的	6751
名字	39
台北市	127
和平	46
東路	65
一段	79
號	190
明白	114
在	1673
鶯	66
歌	65
陶瓷	73
博物	164
館	137
把	405
傘放	32
回傘架	25
時	111
有	1274
看到	116
陳	118
小姐	114
她	1295
對	763
大叫	35
說	761
偷	112
了	1326
雨傘	65
想要	392
告訴	183
只是	383
拿到	94
錯	27
傘	277
我並	113
沒有	311
解釋	33
但	416
根本	58
不	850
聽	94
那天	75
跟	653
同學	262
一起	145
去	299
看	109
一個	337
展覽	22
當我們	45
完展覽	18
兩位	52
他們	106
很	545
餓	49
所以	752
我們	660
決定	69
外面	30
買	58
東西	46
吃	77
也	629
許是	4
找個	18
地方	62
晚餐	49
當我要	22
離開	104
館時	22
正在	71
下雨	46
沒	593
帶傘	35
借	125
一把	61
因為	433
有點	57
高	29
又	55
點壯	2
就	898
ㄧ	5
個	108
借把傘	3
他	1553
體型	27
差不多	13
從	156
傘架	26
中	111
拿	216
老師	21
還有	129
幾位	1
麵	42
包	30
回來	45
時候	413
並對	1
以	81
為	373
那	505
傘是	36
亞當	55
任何人	25
只	135
記得	226
顏色	38
藍色	93
而且	181
不是	178
全新	9
印象	26
我出	1
提議	9
要	429
傘有點	6
小	47
被	81
淋濕	25
然後也	2
旁邊	23
吧	121
把傘	5
還給	63
不想	84
；	8
試圖	18
道歉	131
也許	22
可以	327
證實	7
真的	217
我會	113
到庭	23
安德森	62
侯	1
了解	324
當時	178
雨	21
回去	80
著	136
大	104
吼	26
我試	101
錯雨傘	3
沒偷	1
當天	20
和	466
一些	223
同學到	4
館裡面	2
參觀	16
完	27
參展	2
物件	1
之	96
後	233
有個	5
肚子	17
想	339
找些	4
然	46
可能	89
發現	52
帶雨傘	12
壯	4
叫	80
比	91
較	106
相似	8
教授	214
就是	442
覺得	64
同學亞當	9
中是	6
新	50
走出	19
兩個	135
都	335
甚至	91
還	20
我雨傘	3
太小	43
其他	81
同學在場	2
不願意	39
著要	18
到	247
接受	87
證明	69
所言	3
屬實	2
到場	17
安得森	2
第一	18
區	25
五十二	2
當我	171
那邊	111
然後說	4
一定	40
小心	5
拿錯	11
我嘗試	29
不肯	16
結束	26
找	89
食物	28
然後順	1
便	6
哪裡	5
館裡	2
下	17
大雨	6
身形	24
朋友	320
艾登	8
一支	19
像	217
拿走	26
一	47
隻	80
然後我	30
包給	8
開始	105
那個	171
有意	15
圖想	3
拿別	2
人	259
整支	2
傘看	1
起來	21
如果	159
記錯	1
話	217
那應	1
該	53
出來	19
另外	44
幫	198
作證	7
讓	138
況且	1
著嘗試	1
偷傘	11
但是	243
試著	33
接收	2
或許	18
我講	8
準時	34
保羅	34
散放	2
大吼大叫	11
看展	6
買點	5
打算	59
借傘	47
比較	25
巨大	1
傘不新	1
出	23
我傘	9
很小	7
我想	58
應該	143
傘回給	1
會	325
知道	519
傘架時	1
錯傘	18
啊	200
看展覽	21
出去	45
身型	10
之後陳	1
以為	6
別人	16
傘對	2
而言	12
同學能	2
剛剛	52
出席	11
阿	143
回傘價	1
可是	42
從傘	6
架上	24
偷別	17
認知裡面	1
它	119
當我到	5
傘環給	1
好	167
珀爾	1
和平路	1
大喊	7
講說	5
卻	16
完展	5
走走	8
並且	26
飯	12
再	51
類似	3
然後和	5
意思	49
樣式	1
舊	2
記憶	11
確是	12
回到	39
傘給	2
傘比	11
而	113
一樣	40
情況	12
能	74
來	327
這幫	1
問題	193
博	1
狂吼	1
向	67
不理	10
幾個	15
同學去	9
完以	2
因此	80
或者	14
地點	3
高壯	3
借雨傘	7
正是	1
吼叫	6
任何	106
意圖	2
根據	4
當然	75
雨淋	5
濕	8
傘還	8
不收	3
完全	55
今天	42
所	120
厚	1
和平西路	3
歌瓷	1
確我	1
當我試	3
放到	6
雨架	1
大聲	4
同學來	1
這邊	11
當看	1
這個	453
兩同學	1
然後找	2
準備	7
其中	31
魁	1
怒	1
喊	2
有意思	5
綠色	1
好像	14
當出	1
一同	1
願意	20
傘實	2
淋雨	2
這把傘	1
此外	19
荷	1
地	35
當我想	3
還說	4
並不	31
事發	10
我忘記	2
我長	6
得	264
高大	22
跟亞當	1
相近	4
經過	22
淋溼	6
然後還	1
圖	6
實話	3
霍德	1
段	29
瞭解	26
順便	5
什麼當	1
傘架裡	2
買些	6
包當	3
認知	6
沒錯	147
那裡	50
剛才	9
我還	22
順	2
什麼	184
蠻壯	1
所及	3
一位	19
傘蠻	2
這樣	168
女士	2
拒絕	47
普羅	1
小倩	10
我應	18
東西來	1
或	33
就當	1
我本來	22
叫做	14
並不新	2
身邊	4
要害	1
不假	1
霍爾	2
喊叫	3
吃點	1
我要	23
原本	36
我現	58
回	27
想起	4
衣服	1
濕掉	1
…	313
還傘給	3
進去	8
能證明	2
何	2
圖告訴	1
還是	64
同學們	7
於	165
大概	58
時間	168
正要	4
同行	6
所知	5
適合	3
兩外	1
還陳	7
理	3
現場	5
一點	54
一場	2
看看	5
甚麼	62
餐廳	2
體格	2
朋	1
記得傘	4
記憶裡	5
本來	12
裏	38
一句	7
˙	3
咆嘯	2
並說	3
錯散	1
而已	146
噢	4
那哩	2
認為	78
並有	1
同學淋濕	1
理睬	1
我佐證	2
行為	10
我會來	2
我人	13
大喊大叫	3
或是	37
了點	1
曾經	7
曾	18
經試	2
剛好	4
吃個	2
一名	4
泰德	1
相像	1
傘架裡面	2
包回來	1
那一刻	1
識到	2
看起	5
當中	23
傘借給	4
身體	3
掉	3
找點	3
正當	6
蠻高	1
蠻大	1
蠻	6
胖	1
嗯	12
講話	20
正確	2
霍	2
回傘	4
完時	1
企圖	1
他淋濕	3
二段	7
搞錯	1
嘗試	19
抽	1
大罵	1
手中	1
圖偷	1
支傘	3
那種	5
主動	2
答應	7
林濕	1
在場	11
歸	2
們	26
講的	6
三峽	1
那理	1
你	93
啦	29
一直	77
一離開	1
拿出	7
一個傘	1
這群	1
想到	16
然後沒有	3
據	4
全部都是	4
藍	2
來開	1
還願意	1
由	9
謝絕	1
希望	136
那時候	18
然後我試	1
這裡	14
一切都是	2
‧	17
逛	2
接近	3
之前	63
偷雨傘	1
呢	23
辦法	82
這麼	63
與	55
他傘	2
並沒有	72
看來	4
同	7
傘因	1
以及	45
巴	1
知到	1
安德生	2
完展覽時	1
位同學	4
並找	1
非常	178
我決	2
定向	3
還要	10
提供	35
臺	5
北市	1
已經	122
我剛	17
剛講	1
事實	15
然後在	5
在後來	1
其實	31
感覺	9
然後我們	8
解決	2
這樣子	28
很類	1
似	1
然後跟	7
附近	11
然後開始	1
太新	1
記憶裡面	1
身旁	2
當時還	1
一旁	1
大安	27
五段	4
傘歸	3
還到	1
架子	7
上時	2
最後一個	7
展物	1
然後去	1
走	19
覓食	2
亞登	1
那當	1
