Word	Type	Frequency
案件	C-Na	2
號碼	C-Na	3
為	F-P	4
被告	C-Na	5
姓名為	X-VG	1
性別	C-Na	1
男	X-	1
年歲	C-Na	1
生日	C-Na	1
在	F-P	6
台	C-Nc	1
郵寄	C-VD	1
地址	C-Na	1
台北市	C-Nc	2
大安區	C-Nc	1
泰順街	C-Nc	1
26巷	X	1
36號	X	1
護照	C-Na	1
上述	C-Na	1
被	F-P	2
控	X-VE	1
偷竊	X-VC	1
一	X-Neu	5
罪	C-Na	1
經	F-P	4
調查	X-VE	1
程序	C-Na	1
結束	C-VHC	1
後	X-Ng	6
其	F-Nep	5
罪名	C-Na	1
成立	X-VC	1
且	F-Cbb	1
公訴罪	C-Na	1
罪證	C-Na	2
事實	C-Na	2
及	F-Caa	2
所	F-D	3
犯	X-VC	1
條款	C-Na	1
列	X-VC	1
如下	X-VK	1
於	F-P	6
105年	X	1
1月	X	1
14日	X	1
下午	X-Nd	1
時	X-Nf	4
家	C-Nc	1
位於	X-VCL	1
中山區	C-Nc	1
長安東路	C-Nc	1
一段	C-Nc	1
55號	X	1
的	X-DE	3
全家	C-Nb	1
便利商店	C-Nc	1
中	X-Ncd	1
趁	F-P	1
店長	C-Na	2
康豪	C-Nb	2
不	F-D	1
注意	X-VK	1
徒手	F-D	1
竊取	X-VC	2
罐	X-Nf	1
價格	C-Na	3
約為	X-VG	2
元	X-Nf	4
台幣	C-Na	1
瓶	X-Nf	2
紅酒	C-Na	1
兩	X-Neu	1
約	X-Da	1
愛爾蘭	C-Nc	1
奶酒	C-Na	1
不法	X-A	1
據為己有	X-VB	1
意欲	X-VK	1
販賣	C-VD	1
這些	X-Neqa	1
品項	C-Na	1
將	F-P	2
藏入	X-VCL	1
外套	C-Na	1
褲子	C-Na	1
口袋	C-Na	1
逕行	F-D	1
離開	X-VC	1
該	X-Nes	2
店	C-Nc	2
沒有	F-D	1
結帳	C-VA	1
發現	X-VE	1
以上	X-Ncd	2
情事	C-Na	1
追出	X-VC	1
外	X-Ncd	1
被告制	C-Na	1
倒	C-VA	1
地	C-Na	1
並	F-Cbb	3
報警	C-VA	1
細節	C-Na	1
查證	X-VE	1
屬實	C-VH	1
臺灣	C-Nc	2
臺北	C-Nc	2
地方	C-Na	2
法院	C-Nc	2
刑事	C-Na	1
判決	X-VE	4
104年度	X	1
交簡	C-VH	1
上	X-Nes	1
字	C-Na	1
第311	X	1
號	X-	1
告	X-	1
中文	C-Na	1
姓名	C-Na	1
葛凡毅	C-Nb	1
上列	X-A	1
之	X-DE	6
公共	X-A	2
危險	C-VH	2
本	X-Nes	1
院	C-Nc	1
如	X-VG	1
下	X-Ncd	1
主	C-Na	1
文	X-	1
緩刑	X-VJ	1
貳年	X-Nd	1
應	F-D	2
確定	X-VK	1
日	X-Nf	2
翌日	X-Nd	1
起	X-Ng	2
參	X-VC	1
個	X-Nf	1
月	C-Na	2
內	X-Ncd	3
向	F-P	2
公庫	C-Nc	1
支付	C-VD	1
新臺幣	C-Na	1
參萬	X-Neu	1
另	F-Cbb	1
緩刑期	C-Na	1
檢察官	C-Na	2
指定	X-VE	1
政府	C-Na	3
機關	C-Na	1
機構	C-Na	2
行政	C-Na	1
法人	C-Na	1
社區	C-Nc	1
或	F-Caa	2
其他	X-Neqa	1
符合	X-VJ	1
公益	C-Na	1
目的	C-Na	1
團體	C-Na	1
提供	C-VD	1
肆拾	X-VC	1
小時	C-Na	1
義務	C-Na	1
勞務	C-Na	1
事	C-Na	1
實	C-VH	1
自	F-P	2
民國	X-Nd	1
104年	X	2
2月	X	3
12日	X	1
晚間	X-Nd	1
11時	X	1
30分	X	1
許	X-Neqb	2
至	F-Caa	2
同	X-Nes	2
年	X-Nf	1
13日	X	3
凌晨	X-Nd	4
許止	C-VA	1
臺北市	C-Nc	3
信義區	C-Nc	2
起司	C-Na	1
餐廳	C-Nc	1
與	F-P	1
友人	C-Na	1
飲用	X-VC	1
啤酒	C-Na	1
竟	F-D	1
基於	F-P	1
犯意	C-Na	1
23分	X	2
前	X-Ncd	2
某	X-Nes	1
處	C-Nc	1
駕駛	X-VC	1
所有	X-Neqa	1
車牌	C-Na	1
自小客車	C-Na	1
上路	C-VA	1
嗣	X-	1
松仁路	C-Nc	1
5巷	X	1
438號	X	1
警	C-Na	1
攔查	X-VC	1
43分	X	1
檢測	X-VE	1
吐氣	C-VA	1
含	X-VC	1
酒精	C-Na	1
濃度	C-Na	1
達	X-VJ	1
每	X-Nes	1
公升	X-Nf	1
毫克	X-Nf	1
始	F-D	1
悉	X-VK	1
上情	C-Na	1
二	X-Neu	1
案	C-Na	1
警察局	C-Nc	1
大安	C-Nc	1
分局	C-Nc	1
報告	C-Na	1
檢察署	C-Nc	1
偵查	X-VC	1
聲請	X-VF	1
簡易	C-VH	1
處刑	X-VB	1
