Word	Type	Frequency
今	X-Nd	19
為	X-VG	69
偷竊	X-VC	4
案件	C-Na	28
偵字	C-Na	7
號	X-Nf	19
偵查	X-VC	2
程序	C-Na	48
通譯	C-Na	57
之	X-DE	61
姓名	C-Na	29
厲嘉鎂	C-Nb	3
身分證	C-Na	14
字號	C-Na	13
現	X-Nd	8
居地	C-Na	7
台北市	C-Nc	5
大安區	C-Nc	1
延吉街	C-Nc	2
110號	X	2
七樓	C-Nc	1
告知	X-VE	18
義務	C-Na	16
與	F-P	26
責任	C-Na	7
在庭	C-VA	7
需要	X-VK	14
公正	C-VH	17
誠實	C-VH	17
譯述	C-Na	17
否則	F-Cbb	8
視同	X-VK	7
違反	X-VJ	10
偽證罪	C-Na	2
請	X-VF	57
朗誦	X-VC	7
結文	C-Nb	16
並	F-Cbb	22
簽名	C-VA	7
檢察署	C-Nc	2
謹當	C-VH	9
謹	F-D	1
此	F-Nep	31
結	X-VC	9
被告	C-Na	74
護照	C-Na	11
號碼	C-Na	24
通訊	C-Na	12
地址	C-Na	20
權利	C-Na	18
你	X-Nh	421
有	X-V_2	165
權	C-Na	28
保持	X-VJ	9
緘默	C-VH	9
毋	F-D	9
需	F-D	9
違背	X-VJ	9
意志	C-Na	9
做	X-VC	24
任何	X-Neqa	31
陳述	X-VE	20
雇用	X-VC	8
法定	X-A	9
辯護人	C-Na	20
若	F-Cbb	8
低收入戶	C-Na	8
中低收入戶	C-Na	8
原住民	C-Na	8
或	F-Caa	13
其他	X-Neqa	13
符合	X-VJ	8
法律	C-Na	16
規定	X-VE	7
者	C-Na	9
得	X-DE	6
請求	X-VF	6
服務	X-VC	10
法院	C-Nc	17
調查	X-VE	23
對	F-P	35
有利	X-VK	9
的	X-DE	549
證據	C-Na	23
是否	F-D	14
了解	X-VK	20
以上	X-Ncd	10
原告	C-Na	12
陳小倩	C-Nb	2
新北市	C-Nc	13
三峽區	C-Nc	9
學府路	C-Nc	2
132號	X	1
5樓	X	3
之4	X	1
因為	F-Cbb	43
在	F-P	132
103年	X	8
05月	X	1
27日	X	4
造訪	X-VC	2
鶯歌	C-Nc	2
博物館	C-Nc	2
時	X-Ng	15
拿	X-VC	13
了	F-Di	83
雨傘	C-Na	2
行為	C-Na	3
發生	X-VJ	20
未	F-D	3
情況	C-Na	16
下	X-Nes	11
當	F-P	12
還	F-D	32
傘	C-Na	23
當場	F-D	1
被	F-P	6
陳小倩人	C-Nb	1
具獲	X-VJ	1
因此	F-Cbb	3
她	X-Nh	29
提出	X-VC	12
告訴	X-VE	17
今天	X-Nd	24
主要	X-A	16
是	X-SHI	264
要	F-D	45
解	X-VC	8
那	F-Dk	126
天	X-Nf	17
什麼	F-Nep	54
事情	C-Na	8
就	F-D	78
我	X-Nh	162
問題	C-Na	23
加以	F-D	4
回答	X-VE	10
以便	F-Cbb	3
檢方	C-Na	4
當天	X-Nd	13
事發	C-VH	4
經過	C-Na	6
嗎	F-T	164
待會	F-D	1
也	F-D	38
會	F-D	67
詢問	X-VE	7
聽聽	X-VE	1
雙方	X-Nh	23
明白	X-VK	20
請問	X-VE	38
5月	X	5
下午	X-Nd	6
4點	X	4
15分	X	2
你人	X-Nh	2
哪裡	X-Ncd	6
當時	X-Nd	8
看到	X-VE	8
陳	C-Nb	6
小姐	C-Na	5
事	C-Na	19
呢	F-T	54
為什麼	F-D	24
說	X-VE	40
偷	C-VD	3
意思	C-Na	31
借	C-VD	1
同學	C-Na	2
亞當	C-Nb	1
記得	X-VK	2
把	F-P	24
顏色	C-Na	2
形狀	C-Na	1
支	X-Nf	5
整	X-Neqb	2
隻	X-Nf	3
都	F-D	52
藍色	C-Na	2
人	C-Na	38
可以	F-D	37
證明	C-Na	5
剛剛	F-D	23
講	X-VE	11
話	C-Na	7
他們	X-Nh	16
三	X-Neu	3
位	X-Nf	9
應該	F-D	11
能夠	F-D	19
到庭	C-VA	11
幫	F-P	7
佐證	X-VE	1
所	F-D	31
吧	F-T	7
希望	X-VK	33
好	C-VH	16
現在	X-Nd	14
案發	C-VH	1
能否	F-D	2
講述	X-VE	1
一下	X-Nd	14
去	X-VCL	17
下雨	C-VA	2
進	X-VCL	1
館	C-Nc	1
放	X-VC	3
外面	X-Ncd	2
傘架	C-Na	2
上	X-Ng	23
可是	F-Cbb	15
出來	C-VA	5
不見了	C-VH	1
館方	C-Na	1
人員	C-Na	2
找	X-VC	1
後來	X-Nd	12
這	F-Nep	97
個	X-Nf	97
外國人	C-Na	6
拿回來	X-VC	1
發現	X-VE	10
他	X-Nh	102
失竊	C-VH	2
很	X-Dfa	22
生氣	C-VH	2
質問	X-VE	1
為何	F-D	2
難道	F-D	5
不	F-D	64
知道	X-VK	21
怎麼	F-D	10
那麼	F-Dk	7
沒有	X-VJ	50
公德心	C-Na	1
帶	X-VC	11
特徵	C-Na	2
深藍色	C-Na	1
提示	X-VE	14
偵卷	C-Na	6
第5	X	1
頁	X-Nf	12
照片	C-Na	7
中	X-Ng	28
妳	X-Nh	13
普通	C-VH	3
種	X-Nf	9
買到	X-VC	1
確定	X-VK	3
的確	F-D	1
當初	X-Nd	3
買	X-VC	1
但是	F-Cbb	4
釦子	C-Na	1
那邊	X-Ncd	3
有點	X-Dfa	2
損壞	X-VC	1
扣	X-VC	1
太	X-Dfa	5
起來	F-Di	1
點	X-Nf	5
報案	C-VA	3
特別	C-VH	4
跟	F-P	56
警察	C-Na	1
解釋	X-VE	11
過	F-Di	13
放回	X-VC	1
由	F-P	6
可	F-D	7
知	X-VK	2
如果	F-Cbb	32
對方	X-Nh	29
悔意	C-Na	1
願意	X-VK	6
道歉	X-VB	6
有沒有	F-D	11
可能	F-D	9
原諒	X-VJ	2
畢竟	F-D	1
只	X-Da	6
一	X-Neu	86
叫做	X-VG	2
只是	F-D	13
沒	X-VJ	2
基本	X-A	3
道德	C-Na	1
拿來	X-VC	1
淋	X-VC	1
大雨	C-Na	1
回家	C-VA	3
想	X-VE	11
我們	X-Nh	41
發	C-VD	14
傳票	C-Na	3
給	C-VD	26
提到	X-VE	8
人士	C-Na	4
說明	X-VE	7
次	X-Nf	21
庭訊	X-VC	2
定為	X-VG	1
6月	X	4
19日	X	1
3點	X	1
和	F-P	15
證人	C-Na	8
應	F-D	1
日期	C-Na	5
庭	C-Nc	11
到	F-P	26
問	X-VE	13
在一起	C-VH	7
及	F-Caa	4
老師	C-Na	3
但	F-Cbb	13
來	F-D	15
不用	F-D	1
這樣	C-VH	15
請假	C-VA	2
為止	X-Ng	3
簽完	X-VC	3
筆錄	C-Na	5
後	X-Ng	13
離席	C-VA	2
黃意惇	C-Nb	1
大學路	C-Nc	7
151號	X	6
中華民國	C-Nc	29
2014年	X	2
02月	X	1
17日	X	1
生日	C-Na	1
資料	C-Na	2
桃園縣	C-Nc	1
桃園市	C-Nc	1
中山路	C-Nc	1
一段	C-Nc	2
52號	X	1
申請	X-VF	6
救助	X-VC	1
先生	C-Na	24
102年	X	4
09月	X	1
15日	X	2
