Word	Type	Frequency
是	X-SHI	3456
我	X-Nh	11268
的	X-DE	6676
名字	C-Na	39
台北市	C-Nc	127
和平東路	C-Nc	45
一段	C-Nc	55
52號	X	59
明白	X-VK	114
在	F-P	1624
鶯歌	C-Nc	67
陶瓷	C-Na	71
博物館	C-Nc	163
把	F-P	499
傘	C-Na	537
放回	X-VC	37
傘架	C-Na	63
時	X-Ng	136
有	X-V_2	1173
看到	X-VE	117
陳	C-Nb	121
小姐	C-Na	117
她	X-Nh	1296
對	F-P	671
大叫	X-VE	49
說	X-VE	712
偷	C-VD	142
了	F-T	1470
雨傘	C-Na	112
想要	X-VE	395
告訴	X-VE	152
只是	F-D	228
拿到	X-VC	94
錯	C-Na	158
並	F-D	336
沒有	F-D	928
解釋	X-VE	35
但	F-Cbb	426
根本	F-D	59
不	F-D	1325
聽	X-VE	65
那	F-Nep	877
天	X-Nf	194
跟	F-P	667
同學	C-Na	307
一起	F-D	121
去	X-VCL	300
看	X-VC	87
一	X-Neu	814
個	X-Nf	1431
展覽	X-VC	65
當	F-P	299
我們	X-Nh	719
看完	X-VC	38
兩	X-Neu	332
位	X-Nf	86
他們	X-Nh	109
很	X-Dfa	605
餓	C-VH	49
所以	F-Cbb	752
決定	X-VE	72
外面	X-Ncd	30
買	X-VC	69
東西	C-Na	48
吃	X-VC	73
也許	F-D	32
找	X-VC	111
地方	C-Na	62
晚餐	C-Na	49
要	F-D	589
離開	X-VC	110
正在	F-D	70
下雨	C-VA	46
帶	X-VC	96
借	C-VD	183
因為	F-Cbb	442
有點	X-Dfa	67
高	C-VH	46
又	F-Caa	58
壯	C-VH	7
就	F-D	1349
他	X-Nh	1689
體型	C-Na	27
差不多	F-D	13
從	F-P	150
中	X-Ncd	125
拿	X-VC	178
老師	C-Na	21
還	F-D	404
幾	X-Neu	50
麵包	C-Na	42
回來	C-VA	47
時候	C-Na	401
以為	X-VE	56
亞當	C-Nb	65
任何	X-Neqa	134
人	C-Na	366
只	X-Da	305
記得	X-VK	258
顏色	C-Na	38
藍色	C-Na	93
而且	F-Cbb	181
全新	C-VH	9
印象	C-Na	25
出	X-VJ	11
也	F-D	639
提議	X-VE	9
小	C-VH	99
被	F-P	88
淋濕	X-VB	35
然後	F-D	242
旁邊	X-Ncd	24
吧	F-T	122
還給	C-VD	62
想	X-VE	527
試圖	X-VF	26
道歉	X-VB	131
可以	C-VH	326
證實	X-VE	7
真	C-VH	35
會	F-D	612
到庭	C-VA	23
安德森	C-Nb	19
侯	C-Nb	1
解	X-VC	185
當時	X-Nd	183
放回去	X-VB	4
對著	F-P	14
大吼	X-VE	35
試	X-VF	149
著	F-Di	206
拿錯	X-VC	46
沒	X-VJ	245
當天	X-Nd	23
和	F-Caa	475
一些	X-Neqa	224
到	F-Caa	203
裡面	X-Ncd	142
參觀	X-VC	15
參展	C-VA	2
物件	C-Na	1
之後	X-Ng	108
肚子	C-Na	17
想說	X-VE	33
些	X-Nf	64
可能	C-Na	87
發現	X-VE	51
叫	X-VG	81
比較	X-Dfa	132
相似	C-VH	8
教授	X-VC	214
覺得	X-VK	245
新	C-VH	56
走出	X-VCL	16
都	F-D	351
在一起	C-VH	48
甚至	F-D	91
太	X-Dfa	152
其他	X-Neqa	87
在場	C-VA	15
願意	X-VK	69
接受	X-VC	87
證明	X-VE	71
所	F-D	142
言	X-VE	5
屬實	C-VH	3
到場	C-VA	18
包	X-VC	1
安得森	C-Nb	2
第一區	C-Nc	3
五十二號	C-Nc	2
那時	X-Nd	25
那邊	X-Ncd	112
一定	F-D	40
小心	X-VK	5
嘗試	X-VF	54
不肯	F-D	14
結束	C-VHC	27
食物	C-Na	28
順便	F-D	9
找找	X-VC	5
哪裡	X-Ncd	5
裡	X-Ncd	105
下	X-Ng	20
大雨	C-Na	6
身形	C-Na	23
大	C-VH	103
朋友	C-Na	282
艾登	C-Nb	9
支	X-Nf	121
像	F-P	224
拿走	X-VC	26
隻	X-Nf	80
給	F-P	420
開始	C-VH	164
意圖	C-Na	9
別人	X-Nh	44
整	X-Neqa	26
看起來	F-D	21
如果	F-Cbb	159
記錯	X-VJ	2
的話	F-Cba	122
應該	F-D	176
出來	C-VA	21
另外	X-Da	44
幫	F-P	204
作證	C-VA	7
讓	X-VL	144
況且	F-Cbb	1
但是	F-Cbb	243
就是	F-Cbb	26
接收	X-VC	1
或許	F-D	19
講	X-VE	52
話	C-Na	67
準時	C-VH	38
保羅安德森	C-Nb	19
散放	X-VC	2
回去	C-VA	69
展	C-Na	5
點	X-Nf	38
打算	X-VF	59
巨大	C-VH	1
回給	C-VD	1
知道	X-VK	519
真的	F-D	186
啊	F-T	200
出去	C-VA	42
我人	X-Nh	22
身型	C-Na	10
而言	X-Ng	10
能	F-D	134
剛剛	F-D	53
出席	X-VC	11
阿	F-T	117
傘價	C-Na	1
可是	F-Cbb	42
上	X-Ncd	236
認知	C-Na	7
它	X-Nh	130
傘環	C-Na	1
好	C-VH	127
珀爾安德森	C-Nb	1
和平路	C-Nc	1
了解	X-VK	138
大喊	X-VE	10
卻	F-D	16
後	X-Ng	47
走走	C-VA	4
並且	F-Cbb	28
吃飯	C-VA	9
再	F-D	71
類似	X-VG	10
意思	C-Na	54
樣式	C-Na	1
舊	C-VH	2
記憶	C-Na	17
的確	F-D	52
回到	X-VCL	38
而	F-Cbb	113
一樣	C-VH	40
情況	C-Na	13
來	F-D	338
這	F-Nep	1366
問題	C-Na	206
博	C-VH	1
狂吼	C-VA	1
向	F-P	75
不理	X-VJ	6
參觀完	X-VC	2
以後	X-Nd	9
因此	F-Cbb	80
或者	F-Caa	14
地點	C-Na	3
高壯	C-VH	3
正	F-D	27
吼叫	C-VA	6
根據	F-P	4
當然	F-D	99
雨	C-Na	11
收	X-VC	3
完全	F-D	53
今天	X-Nd	42
厚	C-VH	1
和平西路	C-Nc	3
鶯歌瓷	C-Na	1
放到	X-VC	6
雨架	C-Na	2
大聲	C-VH	4
吼	C-VA	1
這邊	X-Ncd	11
準備	X-VF	7
其中	F-Nep	31
魁	C-VH	1
怒喊	X-VE	1
綠色	C-Na	1
還不是	F-D	1
好像	F-D	14
一同	F-D	1
實在	F-D	18
淋雨	C-VA	2
此外	F-Cbb	19
荷	X-	1
地	X-DE	47
事發	C-VH	18
忘記	X-VK	10
長	X-VC	8
得	F-D	82
高大	C-VH	23
相近	C-VH	4
經過	C-Na	25
淋溼	X-VC	6
實話	C-Na	3
霍德安德森	C-Nb	1
1段	X	6
瞭解	X-VK	25
看完展	C-VA	2
什麼	F-Nep	137
那裡	X-Ncd	51
剛才	X-Nd	11
蠻	X-Dfa	16
所及	C-VH	3
走出來	C-VA	3
這樣	C-VH	169
女士	C-Na	2
拒絕	X-VF	47
安德森普羅	C-Nb	1
小倩	C-Nb	7
或	F-Caa	36
本來	F-D	36
叫做	X-VG	14
身邊	C-Nc	4
害	X-VC	1
假	C-Na	51
霍爾安德森	C-Nb	2
段	X-Nf	40
喊叫	X-VE	3
原本	F-D	36
現在	X-Nd	96
回想	X-VE	3
起來	F-Di	9
衣服	C-Na	1
濕掉	C-VHC	3
聽進去	X-VC	1
何安德森	C-Nb	1
回	X-Nf	41
叫說	X-VE	1
還是	F-D	53
們	C-Na	19
於是	F-Cbb	20
大概	F-D	58
時間	C-Na	181
同行	C-VH	6
知	X-VK	11
適合	C-VH	4
外	X-Ng	3
理	C-Na	10
陳小倩	C-Nb	4
現場	C-Nc	6
一點	X-Dfb	52
場	X-Nf	4
看看	X-VC	5
甚麼	F-Nep	46
餐廳	C-Nc	2
體格	C-Na	2
雨傘架	C-Na	1
和朋	C-Nb	1
那裏	X-Ncd	34
句	X-Nf	50
保羅	C-Nb	9
咆嘯	C-VA	2
錯散	C-VH	1
而已	F-T	147
噢	X-I	4
哩	F-T	2
認為	X-VE	78
理睬	X-VC	1
為	F-P	197
佐證	X-VE	5
行為	C-Na	10
何	X-Nes	1
陶瓷館	C-Nc	2
或是	F-Caa	37
然	X-	3
曾經	F-D	18
曾	F-D	9
剛好	X-Da	8
名	X-Nf	11
泰德	C-Nb	1
相像	C-VH	1
刻	X-Nf	1
意識到	X-VK	4
當中	X-Ng	26
借給	C-VD	4
身體	C-Na	3
說話	C-VA	23
正當	F-P	6
胖	C-VH	1
嗯	X-I	12
講話	C-VA	20
正確	C-VH	3
霍安德森	C-Nb	1
架	C-Na	14
看展	C-VA	4
企圖	X-VF	1
二段	C-Nc	7
搞錯	X-VC	1
抽	X-VC	1
大罵	X-VE	1
手	C-Na	35
種	X-Nf	37
主動	C-VH	2
答應	X-VE	8
林濕	C-Nb	1
歸還	C-VD	8
三峽	C-Nc	1
你	X-Nh	85
啦	F-T	29
一直	F-D	77
拿出	X-VC	9
群	X-Nf	1
想到	X-VE	14
據	F-P	4
全部	X-Neqa	55
藍	C-VH	2
開	X-VC	2
由於	F-Cbb	3
謝絕	X-VC	1
希望	X-VK	136
來到	X-VCL	2
這裡	X-Ncd	16
一切	X-Neqa	12
喊說	X-VE	1
逛完	X-VC	1
想出去	X-VE	2
較	F-P	4
接近	C-VH	3
之前	X-Ng	63
呢	F-T	24
辦法	C-Na	48
這麼	X-Dfa	63
與	F-Caa	53
為了	F-P	45
看來	F-D	4
同	X-Nes	13
以及	F-Caa	45
巴	C-Nb	1
非常	X-Dfa	179
還要	X-Dfa	7
提供	C-VD	31
臺北市	C-Nc	1
進去	X-VE	3
已經	F-D	164
事實	C-Na	16
後來	X-Nd	17
其實	F-D	34
感覺	C-Na	10
解決	X-VC	2
這樣子	C-VH	28
附近	C-Nc	11
身旁	C-Nc	2
旁	X-Ncd	1
大安區	C-Nc	27
五段	C-Nc	4
歸還到	X-VC	1
架子	C-Na	7
最後	X-Nd	54
展物	C-Na	1
走出去	C-VA	2
覓食	C-VA	2
亞登	C-Nb	1
狀況	C-Na	22
弄濕	X-VC	1
件	X-Nf	133
事	C-Na	125
及	F-Caa	16
能夠	F-D	28
咆哮	C-VA	1
則	X-Nf	9
款	X-Nf	1
出庭	C-VA	3
放進	X-VC	4
傘桶	C-Na	3
偷走	X-VC	2
一下	X-Nd	44
遇到	X-VC	56
怕	X-VK	1
無法	F-D	41
相信	X-VK	66
清白	C-VH	3
到時候	F-D	3
想像	X-VK	1
身材	C-Na	5
體身形	C-Na	1
寬	C-VH	1
選擇	C-Na	4
領情	C-VH	1
做證	C-VA	2
原告	C-Na	4
坐下來	C-VA	1
個子	C-Na	2
撐傘	C-VA	1
述	X-VE	5
實	C-VH	1
42號	X	2
還回去	X-VB	2
那些	X-Neqa	39
物品	C-Na	2
用	F-P	98
跑去	X-VCL	2
事情	C-Na	118
發生	X-VJ	71
走回去	C-VA	1
無意	X-VL	2
有的	X-Neqa	17
和平	C-VH	1
56號	X	1
逛	X-VC	1
展覽品	C-Na	1
最	X-Dfa	43
回憶	X-VK	1
時後	C-Na	1
然樓	X-	1
看見	X-VE	3
叫喊	C-VA	1
努力	C-VH	28
艾迪	C-Nb	1
說明	C-Na	3
偷竊	X-VC	2
尋找	X-VC	6
學生	C-Na	31
問	X-VE	57
