Word	Frequency
今為	19
偷	5
竊	6
案件	28
偵字	7
號偵查	2
程序	48
通譯	57
之	53
姓名	29
厲嘉鎂	3
身分	18
證字號	13
現居地	7
台北市	5
大安	1
區	2
延吉街	2
號七樓	1
告知	18
義務	8
與	25
責任	7
在	136
庭	11
需要	14
公正	17
誠實	17
譯述	7
否則	8
視同	7
違反	5
偽證罪	2
請朗誦	7
結文	16
並簽	7
名	8
檢察署	2
號偷	2
為	69
謹當	9
之譯述	10
謹此	1
此結	9
被告	74
護照	11
號碼	15
通訊	6
地址	20
權利義務	8
你	418
有權	27
保持	9
緘默	9
毋需	9
違背	9
意志	9
做	17
任何	30
陳	20
述	10
雇用	8
法定	9
辯護人	17
若	6
低收入	8
戶	16
中低收入	8
原住民	8
或	13
其他	13
符合	8
法律	16
規定者	5
得	10
請求	5
服務	10
請	54
法院	17
調查	23
對	53
有利	9
的	539
證據	23
是否	14
了解	28
以上	10
權利	10
原告	12
小倩	2
新北市	13
三峽區	9
學府	2
路	4
號	28
樓	8
因為	42
年	37
月	48
日造訪	1
鶯	2
歌	2
博物	2
館時	1
拿	14
了	77
雨傘	2
此行	2
發生	19
未	3
情況	16
下	11
當你	4
還傘時	1
當場	1
被	4
小倩人	1
傘具	1
獲	2
因此	3
她	30
提出	12
告訴	40
今天	24
主要	16
是	199
要	37
那天	9
什麼	71
事情	10
就	56
我	140
問題	23
加以	4
回答	10
以便	3
檢方	4
當天	12
事	11
發經過	2
嗎	162
待會	1
也	43
會	44
詢問	5
聽	8
經過	4
雙方	20
明白	20
那	77
請問	28
日	30
下午	6
點	14
分時	2
人	74
哪裡	5
當時	8
有	133
看到	8
小姐	5
呢	53
那為	4
說	55
傘	7
意思	31
借	1
傘是	6
同學亞當	1
記得	2
把	20
顏色	2
形狀	1
那支	1
傘整	1
隻	3
都	51
藍色	2
有人	5
可以	38
證明	5
剛剛講	1
話	11
他們	16
三位	3
應該	10
能夠	19
到庭	11
幫	7
佐證	1
剛剛	20
所	17
吧	7
還有	11
希望	33
好	16
我現	3
當天案	1
發	9
能否	2
講述	1
一下	14
去	15
館	1
下雨	2
進館	1
時	8
放在	1
外面	2
架上	2
可是	15
當我	2
出來	5
傘不見	1
請館	1
方人員	1
找	1
後	33
來	24
這個	25
外國人	3
傘拿回	1
放	2
發現	10
他	97
就是	29
我失	1
傘時	1
很	19
生氣	2
有質問	1
何要	1
難道	5
不	27
知道	21
怎麼	11
那麼	7
沒有	23
公德心	1
帶	11
有什麼	4
特徵	2
深藍色	1
提示	14
偵卷	6
第	12
頁	11
照片	7
中	18
妳	11
這把傘	2
普通	3
那種	2
買到	1
確定	3
的確	1
傘當	1
初	2
買	1
但是	4
傘在	1
釦子	1
那邊	3
有點	2
損壞	1
扣不太起	1
這點	2
當初	2
報案	3
特別	4
跟	55
警察	1
解釋過	1
外國	8
人後來	1
回傘	1
由此可知	1
如果	32
對方	18
悔意	1
願意	3
道歉	6
妳有	1
可能	9
原諒	2
畢竟	1
失竊	1
只是	17
一把	2
叫做	2
這是	14
一個	21
沒	29
基本	2
道德	1
來還	1
淋	1
大雨	1
回家	3
不想	2
我們	40
發傳票給	1
提到	8
人士	4
說明	7
事發	1
下次	2
庭訊定	1
和	15
證人	4
應	1
日期	5
到	29
不到	2
基本上	1
要問	1
一起	7
同學及	1
老師	3
但	13
不用	3
這樣	13
還要	1
假	1
庭訊	1
此	10
為止	3
簽完	3
筆錄	5
離席	2
黃	8
意	1
惇	1
大學路	7
中華民國	24
生日	1
資料	2
桃園	4
縣桃園	1
市	1
中山路	1
一段	6
可申	2
救助	1
先生	24
中正	1
國際	3
機場	5
停車場	3
機車	3
車牌	2
上	17
一頂	1
男用	1
帽子	7
之後經	1
受害者	2
警方	5
調閱	3
監視器	3
紀錄	1
經	2
確認	5
該行	1
由	7
於	21
該	7
行為	1
又經	1
涉嫌	2
犯竊	1
盜罪	1
所以	51
航廈	1
接人	1
什麼後來	1
這件	4
你後來	2
然後發生	1
第五	1
這頂	3
然後呢	1
頂	1
那頂	1
別人	2
隨便	1
拿走	2
再	15
一次	11
那時	1
周遭	1
沒人	1
因為現	1
已經	14
提告	2
有意	4
願	2
和解	12
沒關	1
係	7
進行	32
那先訂	1
早上	3
點鐘	1
調解	2
一切	4
順利	1
就會	2
以金錢	1
賠償	1
方式	11
結束	15
案子	2
通知	6
不能	4
配合	1
準時	1
本棟	1
四樓	1
調解室	1
家事	1
親字	2
子女	8
撫養權	13
準備	26
晶鈺	2
聯絡	15
宣讀	5
貴院	7
居留	9
證號碼	9
選任	6
相對	2
史彩	2
雲	2
士林	1
區忠誠路	1
段	2
辯護	3
有委	1
託	6
律師	1
立場	1
們	13
各自	2
認為	4
自己	8
比較	9
適任	2
撫養	5
孩子	13
這一點	2
闡述	1
此外	1
你們	12
這	13
一件	2
正在	2
打離婚	2
盡量	1
不要	3
言語	1
上攻	1
擊對方	1
問告訴	7
爭取	5
所知	1
目前	8
台灣並	3
全職	1
工作	10
又	3
本人	2
一事	9
比	4
較	4
太太	6
雖然	3
還在	6
打	1
離婚	15
官司	2
同住	2
而且	4
還懷疑	1
男子	1
同居	1
這種	7
不願意	2
交給	2
照顧	5
這樣子	10
另外	4
個	16
經濟	3
能力	7
能	4
打算	2
女兒	14
幾份	1
兼職	2
它們	1
本身	1
性質	1
保守	1
估計	1
每個	1
多少	1
固定收入	1
想要	10
問的	1
是關	3
得到	2
帶回	2
加拿大	2
回來	1
我會	2
這樣問	1
即使	1
拿到	4
還是	10
保有	1
探視權	1
小孩子	1
國家	1
變成	1
變相	1
隔	1
離	1
母女	1
見面	1
意見	6
指	4
近期	1
之內	1
並沒有	7
返回	1
母國	1
接下	2
問相	1
現在	5
分居	1
六個	2
妳是	1
時候	28
訴訟	7
大概	5
兩個	5
前提	1
早	1
之前	7
住在一起	2
現	1
居住	2
狀況	3
如何	3
誰	7
住	5
著	2
第一任	2
婚姻	22
兒子	2
第幾次	1
第二任	2
現在爭	1
小孩	5
幾歲	2
我兒子	1
歲	2
大	4
搬出去	2
只有	1
還	2
那現	1
裏	4
中間	2
協議	1
原來	6
搬出	1
地方	5
小	1
房子	3
環境	3
優	1
客觀	1
條件	1
改變	1
仍然	1
不好	4
不是	13
懷胎	1
十個	1
生下	1
阿	1
捨	1
得以	1
看不到	1
加拿大籍	1
台灣	17
穩定	5
隨時	1
回去	2
見	7
而言	1
負擔	1
費用	1
之後能	1
現居	1
那棟	2
裡	1
來講	2
適合	2
成長	1
至於	1
我個	1
提供	12
給	1
一份	1
財產表	1
除此之外	1
固定	1
收入	3
至少	1
萬	1
想	6
地	7
預定	1
